source_record_id,name,codename,core_count,thread_count,base_clock_ghz,boost_clock_ghz,socket,process_nm,l3_cache_mb,tdp_w,release_date,has_structured_specs,cores_raw,clock_raw,socket_raw,process_raw,l3_cache_raw,tdp_raw,release_raw,source_dataset
98b2ccab1b88a938f9d4,A10 PRO-7800B,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
2ab57277e5ad310a37f7,A10 PRO-7850B,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
e3b9cb02a585e5f07d52,A10-4600M,Trinity,4,,2.3,3.2,FS1R2,32.0,,35.0,2012-05-15,True,4,2.3 to 3.2 GHz,Socket FS1r2,32 nm,,35 W,"May 15th, 2012",baraazaid/cpu-and-gpu-stats
3f505539d7c74a479b49,A10-4655M,Trinity,4,,2.0,2.8,FP2,32.0,,25.0,2012-05-15,True,4,2 to 2.8 GHz,Socket FP2,32 nm,,25 W,"May 15th, 2012",baraazaid/cpu-and-gpu-stats
550c5b6b666b02a2e7d7,A10-5700,Trinity,4,,3.4,4.0,FM2,32.0,,65.0,2012-10-02,True,4,3.4 to 4 GHz,Socket FM2,32 nm,,65 W,"Oct 2nd, 2012",baraazaid/cpu-and-gpu-stats
1f6493fc9d548588fa18,A10-5745M,Richland,4,,2.1,2.9,FP2,32.0,,25.0,2013-06-01,True,4,2.1 to 2.9 GHz,Socket FP2,32 nm,,25 W,"Jun 1st, 2013",baraazaid/cpu-and-gpu-stats
ec8ffb9f7dbc3762cb65,A10-5750M,Richland,4,,2.5,3.5,FS1R2,32.0,,35.0,2013-06-01,True,4,2.5 to 3.5 GHz,Socket FS1r2,32 nm,,35 W,"Jun 1st, 2013",baraazaid/cpu-and-gpu-stats
316c6f4338813abb5128,A10-5757M,Richland,4,,2.5,3.5,FP2,32.0,,35.0,2013-06-01,True,4,2.5 to 3.5 GHz,Socket FP2,32 nm,,35 W,"Jun 1st, 2013",baraazaid/cpu-and-gpu-stats
e116aab62089c5f85369,A10-5800B,Trinity,4,,3.8,4.2,FM2,32.0,,100.0,2012-10-02,True,4,3.8 to 4.2 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012",baraazaid/cpu-and-gpu-stats
3f93455d0f287604e6c5,A10-5800K,Trinity,4,,3.8,4.2,FM2,32.0,,100.0,2012-10-02,True,4,3.8 to 4.2 GHz,Socket FM2,32 nm,,100 W,"Oct 2nd, 2012",baraazaid/cpu-and-gpu-stats
f53ca2f7a6ca3eeef8e8,A10-6700,Richland,4,,3.7,4.3,FM2,32.0,,65.0,2013-06-01,True,4,3.7 to 4.3 GHz,Socket FM2,32 nm,,65 W,"Jun 1st, 2013",baraazaid/cpu-and-gpu-stats
781713028a32b5c0ef80,A10-6700T,Richland,4,,2.5,3.5,FM2,32.0,,45.0,2013-09-16,True,4,2.5 to 3.5 GHz,Socket FM2,32 nm,,45 W,"Sep 16th, 2013",baraazaid/cpu-and-gpu-stats
724d3bfab49ba73cf45d,A10-6790B,Richland,4,,4.0,4.3,FM2,32.0,,100.0,2013-10-28,True,4,4 to 4.3 GHz,Socket FM2,32 nm,,100 W,"Oct 28th, 2013",baraazaid/cpu-and-gpu-stats
a24f106bd04ce2f33560,A10-6790K,Richland,4,,4.0,4.3,FM2,32.0,,100.0,2013-10-28,True,4,4 to 4.3 GHz,Socket FM2,32 nm,,100 W,"Oct 28th, 2013",baraazaid/cpu-and-gpu-stats
f3db1c3f695674065656,A10-6800K,Richland,4,,4.1,4.4,FM2,32.0,,100.0,2013-06-01,True,4,4.1 to 4.4 GHz,Socket FM2,32 nm,,100 W,"Jun 1st, 2013",baraazaid/cpu-and-gpu-stats
2221e9a566d5053ec42c,A10-7700K,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
bdcda9f44ab68cab24ef,A10-7800,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
3c6428b7b8837c150357,A10-7850K,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
2f69d9946e2a01d05f62,A10-7860K,Godaveri,4,,3.6,4.0,FM2+,28.0,,65.0,2016-02-02,True,4,3.6 to 4 GHz,Socket FM2+,28 nm,,65 W,"Feb 2nd, 2016",baraazaid/cpu-and-gpu-stats
8e73f4874a785325472f,A10-7870K,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
423b30c5151c39b3469e,A10-7890K,Godaveri,4,,4.0,4.3,FM2+,28.0,,95.0,2016-01-11,True,4,4 to 4.3 GHz,Socket FM2+,28 nm,,95 W,"Jan 11th, 2016",baraazaid/cpu-and-gpu-stats
650e3f3c7d105f11a096,A10-9700,Bristol Ridge,4,,3.5,3.8,AM4,28.0,,65.0,2017-07-27,True,4,3.5 to 3.8 GHz,Socket AM4,28 nm,,65 W,"Jul 27th, 2017",baraazaid/cpu-and-gpu-stats
4fb3c8bedd713407d17c,A10-9700E,Bristol Ridge,4,,3.0,3.5,AM4,28.0,,35.0,2017-07-27,True,4,3 to 3.5 GHz,Socket AM4,28 nm,,35 W,"Jul 27th, 2017",baraazaid/cpu-and-gpu-stats
9d6abd29a520bbc37273,A100,Stealey,1,,0.6,0.6,BGA 437,90.0,,3.0,2007-06-01,True,1,600 MHz,BGA 437,90 nm,,3 W,"Jun 1st, 2007",baraazaid/cpu-and-gpu-stats
795af521980c9c0c92a1,A110,Stealey,1,,0.8,0.8,BGA 437,90.0,,3.0,2007-06-01,True,1,800 MHz,BGA 437,90 nm,,3 W,"Jun 1st, 2007",baraazaid/cpu-and-gpu-stats
b786c49ff7eee2af403a,A12-9800,Bristol Ridge,4,,3.8,4.2,AM4,28.0,,65.0,2017-07-27,True,4,3.8 to 4.2 GHz,Socket AM4,28 nm,,65 W,"Jul 27th, 2017",baraazaid/cpu-and-gpu-stats
e232017f2a53852ff842,A12-9800E,Bristol Ridge,4,,3.1,3.8,AM4,28.0,,35.0,2017-07-27,True,4,3.1 to 3.8 GHz,Socket AM4,28 nm,,35 W,"Jul 27th, 2017",baraazaid/cpu-and-gpu-stats
01c14415d669fcbfb158,A4 PRO-7300B,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
cd2aeca8e46f08e42fe5,A4 PRO-7350B,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
3b399916865a187889e2,A4-1200,Temash,2,,1.0,1.0,FT3,28.0,,4.0,2013-05-23,True,2,1000 MHz,Socket FT3,28 nm,,4 W,"May 23rd, 2013",baraazaid/cpu-and-gpu-stats
