source_record_id,name,gpu_chip,release_date,bus_interface,memory_gb,memory_type,gpu_clock_mhz,memory_clock_mhz,shader_count,tmu_count,rop_count,has_structured_specs,memory_raw,gpu_clock_raw,memory_clock_raw,shader_counts_raw,release_raw,source_dataset
1a3fa5ebfbaf04fec691,3D Rage,Mach64 GT,1996-04-01,PCI,0.001953125,,44.0,66.0,,,,True,"2 MB, EDO, 64 bit",44 MHz,66 MHz,1 / 0 / 1 / 1,"Apr 1st, 1996",baraazaid/cpu-and-gpu-stats
be935de2b4c8684e3b77,3D Rage II,Mach64 GT-B,1996-09-05,PCI,0.00390625,,60.0,83.0,,,,True,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1,"Sep 5th, 1996",baraazaid/cpu-and-gpu-stats
26f14f568120b64a8882,3D Rage II+ DVD,Mach64 GT-B,1996-09-01,PCI,0.00390625,,60.0,83.0,,,,True,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1,"Sep 1st, 1996",baraazaid/cpu-and-gpu-stats
807e9ac7b499b76d1576,3D Rage IIC AGP,Rage 2,1996-09-01,AGP 2x,0.00390625,,60.0,83.0,,,,True,"4 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1,"Sep 1st, 1996",baraazaid/cpu-and-gpu-stats
d9032e9f72f3ab1320c1,3D Rage IIC PCI,Rage 2,1996-09-01,PCI,0.001953125,,60.0,83.0,,,,True,"2 MB, SDR, 64 bit",60 MHz,83 MHz,1 / 0 / 1 / 1,"Sep 1st, 1996",baraazaid/cpu-and-gpu-stats
afbf7745bdc6888288c3,3D Rage PRO AGP,Rage 3,1997-03-01,AGP 2x,0.001953125,,75.0,75.0,,,,True,"2 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1,"Mar 1st, 1997",baraazaid/cpu-and-gpu-stats
c9c9ecb86c69910380af,3D Rage PRO PCI,Rage 3,1997-03-01,PCI,0.0078125,,75.0,75.0,,,,True,"8 MB, SDR, 64 bit",75 MHz,75 MHz,1 / 0 / 1 / 1,"Mar 1st, 1997",baraazaid/cpu-and-gpu-stats
a1b48ece2dc97c219305,8514-Ultra,Mach8,1992-01-01,PCI,0.0009765625,,10.0,10.0,,,,True,"1 MB, VRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1,1992,baraazaid/cpu-and-gpu-stats
1fa7d8b1c1c8ae92df94,A10 PCIe,GA102,2021-04-12,PCIe 4.0 x16,24.0,GDDR6,885.0,1563.0,9216,288,96,True,"24 GB, GDDR6, 384 bit",885 MHz,1563 MHz,9216 / 288 / 96,"Apr 12th, 2021",baraazaid/cpu-and-gpu-stats
0b32536058e21cbb7dab,A100 PCIe 40 GB,GA100,2020-06-22,PCIe 4.0 x16,40.0,,765.0,1215.0,6912,432,160,True,"40 GB, HBM2e, 5120 bit",765 MHz,1215 MHz,6912 / 432 / 160,"Jun 22nd, 2020",baraazaid/cpu-and-gpu-stats
3dded3ed94ed9bd1eb1d,A100 PCIe 80 GB,GA100,2021-06-28,PCIe 4.0 x16,80.0,,1065.0,1593.0,6912,432,160,True,"80 GB, HBM2e, 5120 bit",1065 MHz,1593 MHz,6912 / 432 / 160,"Jun 28th, 2021",baraazaid/cpu-and-gpu-stats
e97e891350897abe67a3,A100 SXM4 40 GB,GA100,2020-05-14,PCIe 4.0 x16,40.0,,1095.0,1215.0,6912,432,160,True,"40 GB, HBM2e, 5120 bit",1095 MHz,1215 MHz,6912 / 432 / 160,"May 14th, 2020",baraazaid/cpu-and-gpu-stats
cc0eed8b8a9c89abfe84,A100 SXM4 80 GB,GA100,2020-11-16,PCIe 4.0 x16,80.0,,1275.0,1593.0,6912,432,160,True,"80 GB, HBM2e, 5120 bit",1275 MHz,1593 MHz,6912 / 432 / 160,"Nov 16th, 2020",baraazaid/cpu-and-gpu-stats
7521419838afdde6476b,A100X,GA100,2021-06-28,PCIe 4.0 x8,80.0,,795.0,1593.0,6912,432,160,True,"80 GB, HBM2e, 5120 bit",795 MHz,1593 MHz,6912 / 432 / 160,"Jun 28th, 2021",baraazaid/cpu-and-gpu-stats
b493986c490d6cd78493,A10G,GA102,2021-04-12,PCIe 4.0 x16,12.0,GDDR6,1320.0,1563.0,9216,288,96,True,"12 GB, GDDR6, 384 bit",1320 MHz,1563 MHz,9216 / 288 / 96,"Apr 12th, 2021",baraazaid/cpu-and-gpu-stats
4503bad0316448e78008,A16 PCIe,GA107,2021-04-12,PCIe 4.0 x8,16.0,GDDR6,1312.0,1563.0,1280,40,32,True,"16 GB, GDDR6, 128 bit",1312 MHz,1563 MHz,1280 / 40 / 32,"Apr 12th, 2021",baraazaid/cpu-and-gpu-stats
