source_record_id,source_code,accessory_type,raw_name,brand,model,identity_key,brand_confidence,source_trust_status,review_status,recommendation_eligible,source_variant_count,available_colours,source_offer_observed,headset_style,has_microphone,wireless_capable,enclosure_type,frequency_response_raw,candidate_use_tags,primary_use_profile,completeness_score,curation_priority,warning_flags
9250e0710f419346c123,docyx_pc_part_dataset_2025_07_23,headset,Asus Orion,ASUS,Orion,headset:asus:orion,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Red,True,over_ear,True,False,closed,"20,20",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
bffb645add9f738d76c6,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG CETRA II,ASUS,ROG CETRA II,headset:asus:rog-cetra-ii,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,in_ear,True,False,closed,"20,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
f4e6f0b10b93722c7490,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Delta,ASUS,ROG Delta,headset:asus:rog-delta,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Silver,True,over_ear,True,False,closed,"20,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
9116f37fb755332330bf,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Delta II,ASUS,ROG Delta II,headset:asus:rog-delta-ii,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,over_ear,True,True,closed,"20,20",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
481800ea7bd038818b32,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Delta S EVA Edition,ASUS,ROG Delta S EVA Edition,headset:asus:rog-delta-s-eva-edition,curated_alias,reference_only_needs_verification,needs_review,False,1,Green;Purple,True,over_ear,True,False,closed,"20,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
077e8077988fef81b902,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Strix Go,ASUS,ROG Strix Go,headset:asus:rog-strix-go,curated_alias,reference_only_needs_verification,needs_review,False,2,Black,True,over_ear,True,True,closed,"20,40",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source;identity_duplicates_collapsed
0cf530bb1bf12078bd0e,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Strix Go Core,ASUS,ROG Strix Go Core,headset:asus:rog-strix-go-core,curated_alias,reference_only_needs_verification,needs_review,False,2,Black;White,True,over_ear,True,False,closed,"20,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source;identity_duplicates_collapsed
659fb4eae1b81e6121a3,docyx_pc_part_dataset_2025_07_23,headset,Asus ROG Strix Go Electro Punk,ASUS,ROG Strix Go Electro Punk,headset:asus:rog-strix-go-electro-punk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Pink,True,over_ear,True,False,closed,"20,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
063747c07ab1603e6ff4,docyx_pc_part_dataset_2025_07_23,headset,Asus TUF Gaming H1,ASUS,TUF Gaming H1,headset:asus:tuf-gaming-h1,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,over_ear,True,False,closed,"20,20",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
60a6ba51812f1aca3788,docyx_pc_part_dataset_2025_07_23,headset,Asus TUF Gaming H1 Wireless,ASUS,TUF Gaming H1 Wireless,headset:asus:tuf-gaming-h1-wireless,curated_alias,reference_only_needs_verification,needs_review,False,1,,True,over_ear,True,True,closed,"20,20",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
bc3c1b688598e31e5111,docyx_pc_part_dataset_2025_07_23,headset,Asus TUF Gaming H3,ASUS,TUF Gaming H3,headset:asus:tuf-gaming-h3,curated_alias,reference_only_needs_verification,needs_review,False,4,Black;Blue;Gray;Red;Silver,True,over_ear,True,False,closed,"20,20",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source;identity_duplicates_collapsed
4c89c92b4137d40ed7d6,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-102USB,Audio-Technica,ATH-102USB,headset:audio-technica:ath-102usb,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,on_ear,True,False,closed,"20,20",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
552efff814cd5bf9b6bb,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-CHX5ISBK,Audio-Technica,ATH-CHX5ISBK,headset:audio-technica:ath-chx5isbk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,in_ear,True,False,closed,"20,22",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
1e68fac9ebc612a9a01e,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-CHX5ISBL,Audio-Technica,ATH-CHX5ISBL,headset:audio-technica:ath-chx5isbl,curated_alias,reference_only_needs_verification,needs_review,False,1,Blue,True,in_ear,True,False,closed,"20,22",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
a33482e5b5cd413c60f6,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-CK313MBPK,Audio-Technica,ATH-CK313MBPK,headset:audio-technica:ath-ck313mbpk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Pink,True,in_ear,True,False,closed,"20,23",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
4e93cdaf36860587c276,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-CK313MPK,Audio-Technica,ATH-CK313MPK,headset:audio-technica:ath-ck313mpk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Pink,True,in_ear,True,False,closed,"20,23",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
34b4d1269a2f98c798f0,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-CKL202iSBK,Audio-Technica,ATH-CKL202iSBK,headset:audio-technica:ath-ckl202isbk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,in_ear,True,False,closed,"20,23",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
f7c0691997b168942ab6,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-G1WL,Audio-Technica,ATH-G1WL,headset:audio-technica:ath-g1wl,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,over_ear,True,True,closed,"5,40",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
e1f8eae455506b612c61,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-M50xSTS StreamSet USB,Audio-Technica,ATH-M50xSTS StreamSet USB,headset:audio-technica:ath-m50xsts-streamset-usb,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Silver,True,over_ear,True,False,closed,"15,28",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
9f2ab3e84418e457d2ae,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-MSR7BK,Audio-Technica,ATH-MSR7BK,headset:audio-technica:ath-msr7bk,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Silver,True,over_ear,True,False,closed,"5,40",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
7f3546b4e9fe14c4ef25,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-S220BT,Audio-Technica,ATH-S220BT,headset:audio-technica:ath-s220bt,curated_alias,reference_only_needs_verification,needs_review,False,3,Beige;Black;Blue;White,True,over_ear,True,True,closed,"5,32",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source;identity_duplicates_collapsed
af44384ded903010b763,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica ATH-TWX7,Audio-Technica,ATH-TWX7,headset:audio-technica:ath-twx7,curated_alias,reference_only_needs_verification,needs_review,False,3,Black;Brown;Gray;White,True,in_ear,True,True,closed,"10,40",general;communication;gaming;portable,communication,100.0,130.0,frequency_units_ambiguous;unverified_reference_source;identity_duplicates_collapsed
af5fae1c96b3033b13d8,docyx_pc_part_dataset_2025_07_23,headset,Audio-Technica SonicFuel CKR30iS,Audio-Technica,SonicFuel CKR30iS,headset:audio-technica:sonicfuel-ckr30is,curated_alias,reference_only_needs_verification,needs_review,False,1,White,True,in_ear,True,False,closed,"5,24",general;communication;gaming,gaming,100.0,130.0,frequency_units_ambiguous;unverified_reference_source
