source_record_id,source_code,accessory_type,raw_name,brand,model,identity_key,brand_confidence,source_trust_status,review_status,recommendation_eligible,source_variant_count,available_colours,source_offer_observed,keyboard_style_raw,keyboard_size,switch_technology,switch_model,backlight_type,connectivity,candidate_use_tags,primary_use_profile,completeness_score,curation_priority,warning_flags
ed89e7019d6973c1f34c,docyx_pc_part_dataset_2025_07_23,keyboard,Asus ROG Azoth Extreme,ASUS,ROG Azoth Extreme,keyboard:asus:rog-azoth-extreme,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,Gaming,tenkeyless,mechanical,ROG NX Snow,rgb,wired;wireless;bluetooth,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
cb5d6cbd5f0d83c16a98,docyx_pc_part_dataset_2025_07_23,keyboard,Asus ROG Falchion,ASUS,ROG Falchion,keyboard:asus:rog-falchion,curated_alias,reference_only_needs_verification,needs_review,False,5,Black,True,Gaming,tenkeyless,mechanical,ROG NX Red,rgb,wired;wireless,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
80e67cafd65bfdd560a8,docyx_pc_part_dataset_2025_07_23,keyboard,Asus ROG Falchion Ace,ASUS,ROG Falchion Ace,keyboard:asus:rog-falchion-ace,curated_alias,reference_only_needs_verification,needs_review,False,4,Black;White,True,Gaming,tenkeyless,mechanical,ROG NX Brown,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
51d8a6f296c7fba4982b,docyx_pc_part_dataset_2025_07_23,keyboard,Asus ROG Falchion RX,ASUS,ROG Falchion RX,keyboard:asus:rog-falchion-rx,curated_alias,reference_only_needs_verification,needs_review,False,2,White,True,Slim,tenkeyless,optical,ROG RX Red Optical,rgb,wired;wireless;bluetooth,general;portable,portable,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
cb603e029dfb56f63500,docyx_pc_part_dataset_2025_07_23,keyboard,Asus ROG Strix Scope,ASUS,ROG Strix Scope,keyboard:asus:rog-strix-scope,curated_alias,reference_only_needs_verification,needs_review,False,10,Black;Gray;White,True,Gaming,tenkeyless,optical,ROG RX Red Optical,rgb,wired;wireless;bluetooth,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
ca921095d39d76716b5c,docyx_pc_part_dataset_2025_07_23,keyboard,Asus TUF Gaming K3 Gen II,ASUS,TUF Gaming K3 Gen II,keyboard:asus:tuf-gaming-k3-gen-ii,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,Gaming,tenkeyless,optical,ROG RX Red Optical,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
8134004d4cf59471a503,docyx_pc_part_dataset_2025_07_23,keyboard,Cooler Master CK530 V2,Cooler Master,CK530 V2,keyboard:cooler-master:ck530-v2,curated_alias,reference_only_needs_verification,needs_review,False,3,Black,True,Gaming,tenkeyless,mechanical,TTC Blue,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
7f25833cfe13f38b9366,docyx_pc_part_dataset_2025_07_23,keyboard,Cooler Master CK720 US,Cooler Master,CK720 US,keyboard:cooler-master:ck720-us,curated_alias,reference_only_needs_verification,needs_review,False,6,Black;Gray;Silver;White,True,Gaming,tenkeyless,mechanical,Kailh Box White V2,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
ee3c65aaaa896e957c5e,docyx_pc_part_dataset_2025_07_23,keyboard,Cooler Master MasterKeys Pro M White (MX Red),Cooler Master,MasterKeys Pro M White (MX Red),keyboard:cooler-master:masterkeys-pro-m-white-mx-red,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,Standard,full_size,mechanical,Cherry MX Red,single_colour,wired,general,productivity,100.0,127.0,unverified_reference_source
98788db2808eb531d034,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K60 Pro,Corsair,K60 Pro,keyboard:corsair:k60-pro,curated_alias,reference_only_needs_verification,needs_review,False,2,Black,True,Gaming,tenkeyless,mechanical,Corsair OPX,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
7a5e50a09368bdfcd362,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K63 Special Edition (MX Red),Corsair,K63 Special Edition (MX Red),keyboard:corsair:k63-special-edition-mx-red,curated_alias,reference_only_needs_verification,needs_review,False,1,,True,Gaming,tenkeyless,mechanical,Cherry MX Red,single_colour,wireless,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
8ef5ef9abfe8f3a34eb0,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K65 PLUS,Corsair,K65 PLUS,keyboard:corsair:k65-plus,curated_alias,reference_only_needs_verification,needs_review,False,6,Black,True,Gaming,tenkeyless,mechanical,Corsair MLX Red Linear,rgb,wired;wireless,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
d7ea183a5ac781661eda,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K65 RGB MINI,Corsair,K65 RGB MINI,keyboard:corsair:k65-rgb-mini,curated_alias,reference_only_needs_verification,needs_review,False,4,Black;White,True,Mini,tenkeyless,mechanical,Cherry MX Speed Silver,rgb,wired,general;portable,portable,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
33c39e1a4f80fd4cf2f8,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K70 CORE TKL,Corsair,K70 CORE TKL,keyboard:corsair:k70-core-tkl,curated_alias,reference_only_needs_verification,needs_review,False,2,Black,True,Gaming,tenkeyless,mechanical,Corsair MLX Red V2 Linear,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
39fb05f4f27438d5b9e9,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K70 PRO MINI,Corsair,K70 PRO MINI,keyboard:corsair:k70-pro-mini,curated_alias,reference_only_needs_verification,needs_review,False,4,Black;White,True,Mini,tenkeyless,mechanical,Cherry MX Speed Silver,rgb,wired;wireless;bluetooth,general;portable,portable,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
ede3548a5325fa763f10,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K70 PRO TKL ABS,Corsair,K70 PRO TKL ABS,keyboard:corsair:k70-pro-tkl-abs,curated_alias,reference_only_needs_verification,needs_review,False,2,Black;White,True,Gaming,tenkeyless,mechanical,Corsair MGX V2,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
07eaf8f01f04ff0b8a76,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K70 PRO TKL PBT,Corsair,K70 PRO TKL PBT,keyboard:corsair:k70-pro-tkl-pbt,curated_alias,reference_only_needs_verification,needs_review,False,2,Black;White,True,Gaming,tenkeyless,mechanical,Corsair MGX V2,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
91a523aec0015d88c124,docyx_pc_part_dataset_2025_07_23,keyboard,Corsair K70 RGB TKL CHAMPION SERIES,Corsair,K70 RGB TKL CHAMPION SERIES,keyboard:corsair:k70-rgb-tkl-champion-series,curated_alias,reference_only_needs_verification,needs_review,False,3,Black,True,Gaming,tenkeyless,mechanical,Corsair OPX,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
e97684f3fb9e77a87a45,docyx_pc_part_dataset_2025_07_23,keyboard,Ducky One 3 Matcha,Ducky,One 3 Matcha,keyboard:ducky:one-3-matcha,curated_alias,reference_only_needs_verification,needs_review,False,6,Beige;Green,True,Standard,tenkeyless,mechanical,Cherry MX Brown,,wired,general;portable,portable,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
1b44c9049079dab96fea,docyx_pc_part_dataset_2025_07_23,keyboard,Ducky One 3 w/ Quack Mechanics,Ducky,One 3 w/ Quack Mechanics,keyboard:ducky:one-3-w-quack-mechanics,curated_alias,reference_only_needs_verification,needs_review,False,7,Black,True,Gaming,tenkeyless,mechanical,Cherry MX Red,rgb,wired,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
2dc66ff5a140a5f5c397,docyx_pc_part_dataset_2025_07_23,keyboard,Ducky Zero 6108 Classic,Ducky,Zero 6108 Classic,keyboard:ducky:zero-6108-classic,curated_alias,reference_only_needs_verification,needs_review,False,4,Black,True,Standard,full_size,mechanical,Cherry MX2A Brown,rgb,wired;wireless;bluetooth,general;portable,portable,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
