source_record_id,source_code,accessory_type,raw_name,brand,model,identity_key,brand_confidence,source_trust_status,review_status,recommendation_eligible,source_variant_count,available_colours,source_offer_observed,tracking_method,connectivity,max_dpi,hand_orientation,candidate_use_tags,primary_use_profile,completeness_score,curation_priority,warning_flags
7e881332fb176263731e,docyx_pc_part_dataset_2025_07_23,mouse,Asus P702 ROG GLADIUS II WIRELESS,ASUS,P702 ROG GLADIUS II WIRELESS,mouse:asus:p702-rog-gladius-ii-wireless,curated_alias,reference_only_needs_verification,needs_review,False,1,Black;Red,True,optical,wireless,16000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
8cee106bf79b28acf163,docyx_pc_part_dataset_2025_07_23,mouse,Asus P704 ROG CHAKRAM,ASUS,P704 ROG CHAKRAM,mouse:asus:p704-rog-chakram,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,optical,wireless,16000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
a938b8028933d4080f7f,docyx_pc_part_dataset_2025_07_23,mouse,Asus P707 ROG SPATHA X,ASUS,P707 ROG SPATHA X,mouse:asus:p707-rog-spatha-x,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,optical,wireless,19000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
b0330996e49ed2340abf,docyx_pc_part_dataset_2025_07_23,mouse,Asus ProArt Mouse MD300,ASUS,ProArt Mouse MD300,mouse:asus:proart-mouse-md300,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,optical,wired;wireless;bluetooth,4200.0,right,general;portable,portable,100.0,127.0,unverified_reference_source
7f8fb449a7089b519f60,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG Chakram X Origin,ASUS,ROG Chakram X Origin,mouse:asus:rog-chakram-x-origin,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,optical,wired;wireless;bluetooth,36000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
ed2c52b09b220e986cdf,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG GLADIUS II CORE,ASUS,ROG GLADIUS II CORE,mouse:asus:rog-gladius-ii-core,curated_alias,reference_only_needs_verification,needs_review,False,1,Black,True,optical,wired,6200.0,right,general,productivity,100.0,127.0,unverified_reference_source
ee7bbfc1a39b4340c637,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG GLADIUS II ORIGIN PNK LTD,ASUS,ROG GLADIUS II ORIGIN PNK LTD,mouse:asus:rog-gladius-ii-origin-pnk-ltd,curated_alias,reference_only_needs_verification,needs_review,False,1,Pink;White,True,optical,wired,12000.0,right,general;gaming,gaming,100.0,127.0,unverified_reference_source
aefd587205a40c0c802d,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG Gladius III,ASUS,ROG Gladius III,mouse:asus:rog-gladius-iii,curated_alias,reference_only_needs_verification,needs_review,False,2,Black,True,optical,wired,26000.0,right,general;gaming,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
d3f74e19a6daa9b81506,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG Gladius III AimPoint,ASUS,ROG Gladius III AimPoint,mouse:asus:rog-gladius-iii-aimpoint,curated_alias,reference_only_needs_verification,needs_review,False,1,White,True,optical,wired;wireless;bluetooth,36000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source
24443409697713f2cd3a,docyx_pc_part_dataset_2025_07_23,mouse,Asus ROG HARPE ACE AIM LAB EDITION,ASUS,ROG HARPE ACE AIM LAB EDITION,mouse:asus:rog-harpe-ace-aim-lab-edition,curated_alias,reference_only_needs_verification,needs_review,False,2,Black;White,True,optical,wired;wireless,36000.0,right,general;gaming;portable,gaming,100.0,127.0,unverified_reference_source;identity_duplicates_collapsed
